core_p	age_p	d13_p	dep_p	lat_p	lon_p	count	range
MD95_2042	5.70875	0.9687500000000001	3146.0	37.799833	-10.1665	8	no
MD96-2080	5.294117647	0.7949999999999999	2488.0	-36.2667	19.475	2	no
MD99-2334	5.715050526808862	0.9326666666666666	3146.0	37.800000000000004	349.83	12	no
NA87-22	4.613700175029615	1.1324999999999998	2161.0	55.480000000000004	345.32000000000005	8	no
NO79-28	5.898686666666667	0.6	3625.0	45.63	337.25	3	no
ODP1087	5.191752612125774	0.3333333333333333	1372.0	-31.459999999999997	15.31	3	no
ODP1089	4.8718083234612966	0.24699999999999997	4621.0	-40.94	9.89	10	no
ODP1090_TTN057-6	4.835373528336381	0.12200000000000003	3702.0	-42.91	8.9	5	no
ODP659	4.9371515635395875	1.0733333333333333	3082.0	18.08	338.97	3	no
ODP925	6.804487786259542	1.23	3040.0	4.2	316.51	1	no
ODP926	6.376092462311557	1.23	3598.0	3.72	317.09000000000003	1	no
ODP927	4.623616666666667	0.88	3326.0	5.46	315.52	1	no
ODP928	5.784842857142857	0.99	4012.0	5.46	316.25	2	no
ODP929	6.293486005366427	0.54	4369.0	5.98	316.26	2	no
ODP980	6.098984505781838	0.9890476190476191	2168.0	55.489999999999995	345.3000000000001	21	no
ODP982	5.303521034482758	0.925	1134.0	57.51	344.15	4	no
ODP983	5.167222489963931	1.0722222222222224	1984.0	60.39999999999999	336.35999999999996	18	no
ODP984	3.870186522929373	1.061818181818182	1650.0	61.0	336.0	11	no
PS2082	3.5837704144620814	-0.020000000000000018	4610.0	-43.22	11.74	3	no
PS2498	4.306812196382429	0.06000000000000001	3783.0	-44.15	345.77	5	no
RC13-228	4.547736666666666	0.5466666666666666	3204.0	-22.33	11.199999999999998	3	no
RC13-229	3.7894764285714286	0.2978571428571429	4194.0	-25.5	11.299999999999999	7	no
RC16-119	4.6359670781893	1.0933333333333333	1567.0	-27.7	313.48	3	no
RC16-84	4.5099833333333335	1.3193333333333332	2438.0	-26.7	316.67	3	no
SO82_5-2	4.025888888888889	1.24	1416.0	59.19	329.1	2	no
SU90-03	4.782096491228071	1.29	2475.0	40.05	328.0	3	no
SU90-39	5.032143232382846	0.7533333333333334	3955.0	52.5	338.0	3	no
U1308	4.870666666666667	0.9533333333333331	3871.0	49.877759999999995	-24.238110000000002	15	no
V22-197	5.43055342824415	0.8414285714285714	3167.0	14.17	341.42	7	no
V23-81	5.160018829004162	1.0125	2393.0	54.25	343.17	4	no
V24-253	4.6323	1.3013333333333332	2069.0	-26.95	315.33	3	no
V25-59	4.527847212387292	0.89	3824.0	1.37	326.52	3	no
V26-176	5.515305190820951	0.959	3942.0	36.050000000000004	287.61999999999995	10	no
V28-127	5.394302557302339	0.7743333333333333	3237.0	11.65	279.87	3	no
V28-14	6.126188888888889	0.8	1855.0	64.78	330.43	2	no
V29-135	6.510979310344827	0.65	2675.0	-19.7	8.88	1	no
V29-202	5.956744442556267	1.0928571428571427	2658.0	61.0	339.0	14	no
V30-49	3.9512377442359905	0.9179999999999999	3093.0	18.43	338.92	5	no
