"Lat" "Lon" "Ocean_depth" "d13C" "count" "stdev" "run.no"
60.4 -23.64 1984 1 4 0.0707106781186548 "2"
61 -24 1650 1.05 5 0.216679486800205 "2"
54.25 -16.83 2393 0.97 1 NA "2"
64.78 -29.57 1855 0.91 1 NA "2"
61 -21 2658 1.05666666666667 6 0.198158185969358 "2"
-44.07 -14.21 3770 0.115 2 0.0494974746830583 "2"
-40.94 9.89 4621 0.31 1 NA "2"
-42.91 8.9 3702 0.2 1 NA "2"
-43.22 11.74 4610 -0.33 1 NA "2"
-41.28 -14.49 3134 0.71 1 NA "2"
-44.15 -14.23 3783 0.21 1 NA "2"
41.72 -32.85 3427 0.983333333333333 3 0.130128141972954 "2"
6.64 -21.9 3527 0.82 1 NA "2"
5.45 -21.14 3160 0.94 1 NA "2"
4.23 -20.63 3792 0.805 2 0.0353553390593273 "2"
3.09 -20.02 4745 0.84 1 NA "2"
2.46 -19.76 5105 0.845 2 0.00707106781186548 "2"
2.47 -19.73 4998 0.86 1 NA "2"
4.31 -20.21 4095 0.63 1 NA "2"
4.92 -20.5 2937 1.045 2 0.0919238815542513 "2"
5.26 -21.71 3423 1.045 2 0.148492424049175 "2"
5.91 -44.2 4056 0.53 1 NA "2"
-22.92 6.04 2505 0.85 1 NA "2"
-21.74 5.42 3772 0.51 1 NA "2"
-21.59 5.03 4453 0.6 1 NA "2"
-3.48 -7.6 4033 0.85 1 NA "2"
1.66 -10.98 4588 0.945 2 0.0212132034355964 "2"
-1.67 -12.43 3225 0.95 1 NA "2"
-5.78 -10.75 3125 0.926666666666667 3 0.055075705472861 "2"
-3.82 -14.9 3984 0.92 1 NA "2"
-3.56 -16.43 4675 -0.005 2 0.318198051533946 "2"
-24.48 7.53 4084 0.26 1 NA "2"
-24.69 7.24 3210 0.68 1 NA "2"
-23.43 11.7 2987 0.493333333333333 3 0.222336081942031 "2"
30.63 -12.4 2324 1.05 1 NA "2"
28.89 -13.23 1358 1.04 1 NA "2"
20.75 -18.58 2278 0.873333333333333 3 0.123423390543824 "2"
14.5 -17.95 2384 0.675 4 0.306431068920891 "2"
12.44 -18.06 3223 0.825 2 0.0353553390593273 "2"
35.65 -8.06 1765 1.205 2 0.0353553390593274 "2"
21.15 -18.57 2778 1.03 1 NA "2"
15.83 -17.86 2576 0.88 1 NA "2"
23.14 -17.75 2136 0.99 3 0.02 "2"
25.17 -16.85 2573 0.94 1 NA "2"
5.67 -19.85 2862 1.07 1 NA "2"
44.36 -26.54 3050 0.98 1 NA "2"
34.89 -7.82 2022 1.11 2 0.0282842712474618 "2"
34.86 -8.13 2460 1.07666666666667 3 0.0208166599946613 "2"
29.98 -10.65 1512 1.185 2 0.0212132034355964 "2"
21.24 -18.06 1516 0.943333333333333 3 0.137961347243833 "2"
14.42 -20.54 4202 0.77 1 NA "2"
-2.2 5.1 3891 0.553333333333333 3 0.296704117486316 "2"
48.22 -27.06 2558 1.28 4 0.0469041575982343 "2"
49.88 -24.24 3883 1.09 1 NA "2"
37.58 -31.84 2690 1.14 2 0.0424264068711927 "2"
4.87 -43.21 3995 0.76 2 0.254558441227157 "2"
4.95 -42.89 4556 0.1 4 0.453504869507116 "2"
4.79 -43.04 4341 0.35 1 NA "2"
4.56 -43.38 3547 0.913333333333333 3 0.0416333199893226 "2"
4.36 -43.7 3164 1.20666666666667 3 0.0115470053837925 "2"
4.34 -43.41 3063 1.03 4 0.456435464587638 "2"
4.34 -43.49 2816 1.165 2 0.106066017177982 "2"
4.76 -43.31 3810 0.895 2 0.0494974746830584 "2"
-27.51 -46.47 1268 1.0805 2 0.0827314933988261 "2"
33.69 -57.63 4583 0.630714285714286 14 0.3788944299023 "2"
12.09 -61.24 1299 0.985 4 0.151767365837763 "2"
38.24 -10.39 4602 0.82 1 NA "2"
40.58 -9.86 2465 1.02 1 NA "2"
37.8 -10.17 3146 0.99618 5 0.053821900746815 "2"
45.63 -22.75 3625 0.83 2 0.183847763108502 "2"
-31.46 15.31 1372 0.43 3 0.132287565553229 "2"
18.08 -21.03 3082 1.14 1 NA "2"
0.11 -23.23 3806 0.86 1 NA "2"
4.2 -43.49 3040 1.43 1 NA "2"
3.72 -42.91 3598 1.255 2 0.120208152801713 "2"
5.46 -44.48 3326 0.51 2 0.523259018078045 "2"
5.46 -43.75 4012 1.15666666666667 3 0.0960902353693305 "2"
5.98 -43.74 4369 0.17 2 0.664680374315355 "2"
37.82 -9.5 1086 1.27 1 NA "2"
-22.33 11.2 3204 0.596666666666667 3 0.178978583448784 "2"
-25.5 11.3 4194 0.25925 4 0.109445191762818 "2"
-27.7 -46.52 1567 1.14 1 NA "2"
-26.7 -43.33 2438 1.301 1 NA "2"
40.05 -32 2475 1.28666666666667 3 0.0585946527708232 "2"
14.17 -18.58 3167 0.67 1 NA "2"
-26.95 -44.67 2069 1.282 1 NA "2"
1.37 -33.48 3824 0.8975 4 0.0708872343937891 "2"
36.05 -72.38 3942 1.15 1 NA "2"
11.65 -80.13 3237 0.791333333333333 3 0.155949778240732 "2"
-19.7 8.88 2675 0.65 1 NA "2"
18.43 -21.08 3093 0.91 1 NA "2"
41.75 -47.35 4100 0.884 5 0.223562071917398 "2"
6.13 -43.44 4503 0.42 1 NA "2"
31.41415 -75.25807 3000 0.87 3 0.286879765755621 "2"
49.87776 -24.23811 3871 0.893333333333333 3 0.0251661147842359 "2"
54.63 -16.35 2209 0.736666666666667 3 0.0404145188432738 "3"
56.16 -31.99 2295 1.04 1 NA "3"
