"Row.names" "dataset" "equation" "model" "type" "period" "reps" "run.no" "dep_4" "filename" "success.rate" "sigma" "N_mem" "A_mem" "a.AABW" "b.AABW" "c.AABW" "e.AABW" "a.NADW" "b.NADW" "c.NADW" "e.NADW" "lower" "upper"
"1" "Holocene" "quad" "UVic" "data" "Holocene" 1 "1" 3200 "1_Holocene_UVic_Holocene_data_quad_d13C.txt" TRUE 0.22117516045917 1.05869047619048 0.13 0.00412338009953559 -0.0010583643808789 1.12299859575747e-07 3.09887210057997 0.00235677377171031 0.000304279405904285 -8.01438196749109e-08 0.718538878633377 3 4
"1" "Holocene" "tanh" "UVic" "data" "Holocene" 1 "2" NA "1_Holocene_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.22433565343899 1.05869047619048 0.13 0.00412338009953559 -0.0010583643808789 1.12299859575747e-07 3.09887210057997 -0.0115048459730551 0.00248499734781384 -2.59547668031832e-07 -5.95369109987819 3 4
"1" "Holocene" "quad" "UVic" "data" "Holocene" 1 "3" 3200 "1_Holocene_UVic_Holocene_data_quad_d13C.txt" TRUE 0.193262657419274 1.05839333333333 0.1115 0.00431758176054185 -0.000156914410659852 7.8698900124794e-09 1.21147154947669 0.00294520120841324 0.000235666386984265 -6.26928842231004e-08 0.793093716660637 4 5
"1" "Holocene" "tanh" "UVic" "data" "Holocene" 1 "4" NA "1_Holocene_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.196795822258481 1.05839333333333 0.1115 0.00431758176054185 -0.000156914410659852 7.8698900124794e-09 1.21147154947669 -0.0155625627791348 0.0023624311013644 -2.50601903145991e-07 -5.6906866234083 4 5
"1" "Holocene" "quad" "UVic" "data" "Holocene" 1 "5" 3200 "1_Holocene_UVic_Holocene_data_quad_d13C.txt" TRUE 0.213012972388719 1.02004761904762 0.019625 0.00499727091061769 -0.000791720768733843 9.04730019236423e-08 2.37444446057808 0.00275088947398386 0.000299863900378191 -8.10638032934618e-08 0.736451892810477 5 6
"1" "Holocene" "tanh" "UVic" "data" "Holocene" 1 "6" NA "1_Holocene_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.323864467286474 1.02004761904762 0.019625 0.00499727091061769 -0.000791720768733843 9.04730019236423e-08 2.37444446057808 -0.0282329378788999 1.15002111214274 -0.00029833824682198 -1105.14111616693 5 6
"1" "Holocene" "quad" "UVic" "data" "Holocene" 1 "7" 3600 "1_Holocene_UVic_Holocene_data_quad_d13C.txt" TRUE 0.22200681454212 1.00382142857143 0.004125 0.00517862901866552 0.00031672309531953 -3.01506685720607e-08 -0.189174147437281 0.00321422016018633 0.000384442175035192 -9.13807202295655e-08 0.554689201256357 6 7
"1" "Holocene" "tanh" "UVic" "data" "Holocene" 1 "8" NA "1_Holocene_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.859471706263127 1.00382142857143 0.004125 0.00517862901866552 0.00031672309531953 -3.01506685720607e-08 -0.189174147437281 1.98897372880171 -11.5565124617151 0.00504917826442299 6517.18143926969 6 7
"1" "Holocene" "quad" "UVic" "data" "Holocene" 1 "9" 3950 "1_Holocene_UVic_Holocene_data_quad_d13C.txt" TRUE 0.235765784335387 1.02060344827586 0.0297083333333333 0.00406839085613131 -0.00483398242214605 5.4210264685626e-07 11.2686511343224 0.00460484905592414 0.000339210905155507 -7.59538181938857e-08 0.517872581468075 7 8
"1" "Holocene" "tanh" "UVic" "data" "Holocene" 1 "10" NA "1_Holocene_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.248046669342906 1.02060344827586 0.0297083333333333 0.00406839085613131 -0.00483398242214605 5.4210264685626e-07 11.2686511343224 -0.0148188603109071 5.93383429590209e-05 5.0535868183051e-08 -1.34826861544982 7 8
"1" "Holocene" "quad" "UVic" "data" "Holocene" 1 "11" 3950 "1_Holocene_UVic_Holocene_data_quad_d13C.txt" TRUE 0.224416435717858 1.01600899621212 0.102256944444444 0.00296413365911359 -0.00593510625331095 6.67957247046719e-07 13.6483065512223 0.00435458319941678 0.000206269392700899 -4.82211250176428e-08 0.645657762221572 8 9
"1" "Holocene" "tanh" "UVic" "data" "Holocene" 1 "12" NA "1_Holocene_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.240310682316452 1.01600899621212 0.102256944444444 0.00296413365911359 -0.00593510625331095 6.67957247046719e-07 13.6483065512223 -0.0119911350748954 -0.000304826244626472 1.00767914935747e-07 -0.625636995717837 8 9
"1" "Holocene" "quad" "UVic" "data" "Holocene" 1 "13" 3950 "1_Holocene_UVic_Holocene_data_quad_d13C.txt" TRUE 0.214307184919529 0.893944602272727 0.0301944444444444 0.00223865003247381 -0.00597603615297086 6.66679488053289e-07 13.8506960299114 0.00409222641153125 -4.91684230672887e-05 -3.37892471266217e-09 0.923656336155223 9 10
"1" "Holocene" "tanh" "UVic" "data" "Holocene" 1 "14" NA "1_Holocene_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.226595047816756 0.893944602272727 0.0301944444444444 0.00223865003247381 -0.00597603615297086 6.66679488053289e-07 13.8506960299114 -0.0139033539983428 0.00104065284623422 -8.7919459573556e-08 -3.11205231034221 9 10
"1" "Holocene" "quad" "UVic" "data" "Holocene" 1 "15" 3950 "1_Holocene_UVic_Holocene_data_quad_d13C.txt" TRUE 0.243426940947981 0.888302083333333 0.0749791666666667 -0.00199467109013679 -0.00438748140733613 4.99472185847174e-07 10.1001968653421 0.0041868451350505 -3.67477117572507e-05 -3.65004539336666e-09 0.845192934527612 10 11
