"Lat" "Lon" "Ocean_depth" "d13C" "weights" "run.no"
18.08 -21.03 3082 1.09 4.3 "1"
18.43 -21.08 3093 0.955 4.3 "1"
18.43 -21.08 3093 1 4.3 "1"
20.75 -18.58 2278 0.85 4.3 "1"
20.75 -18.58 2278 0.895 4.3 "1"
21.15 -18.57 2778 0.76 4.3 "1"
21.15 -18.57 2778 0.875 4.3 "1"
21.24 -18.06 1516 0.89 4.3 "1"
21.24 -18.06 1516 0.88 4.3 "1"
23.14 -17.75 2136 1.05 4.3 "1"
23.14 -17.75 2136 0.99 4.3 "1"
25.17 -16.85 2573 0.926666666666667 4.3 "1"
25.17 -16.85 2573 0.92 4.3 "1"
28.89 -13.23 1358 1.035 4.3 "1"
28.89 -13.23 1358 1.0325 4.3 "1"
29.98 -10.65 1512 1.17 4.3 "1"
29.98 -10.65 1512 1.17 4.3 "1"
30.63 -12.4 2324 1.05 4.3 "1"
30.63 -12.4 2324 1.04375 4.3 "1"
31.41415 -75.25807 3000 1.1 4.9 "1"
31.41415 -75.25807 3000 0.39 4.9 "1"
34.86 -8.13 2460 1.06 4.3 "1"
34.89 -7.82 2022 1.13 4.3 "1"
35.65 -8.06 1765 1.23 4.3 "1"
37.8 -10.17 3146 0.9634 4.3 "1"
37.8 -10.17 3146 0.9336 4.3 "1"
37.82 -9.5 1086 1.206 4.3 "1"
37.82 -9.5 1086 1.19 4.3 "1"
40.05 -32 2475 1.22 4.3 "1"
40.05 -32 2475 1.25666666666667 4.3 "1"
40.58 -9.86 2465 1.13 4.3 "1"
40.58 -9.86 2465 1.04 4.3 "1"
44.36 -26.54 3050 1.034 4.3 "1"
44.36 -26.54 3050 1.088 4.3 "1"
52.55 -20.33 2841 1.08 4.3 "2"
52.55 -20.33 2841 1.05 4.3 "2"
53.18 -19.15 2472 0.94 4.3 "2"
53.18 -19.15 2472 1.08 4.3 "2"
53.54 -20.29 2196 1.20333333333333 4.3 "2"
53.54 -20.29 2196 1.19666666666667 4.3 "2"
54.25 -16.83 2393 0.9725 4.3 "2"
54.25 -16.83 2393 0.975 4.3 "2"
54.63 -16.35 2209 0.732 4.3 "2"
54.63 -16.35 2209 0.718 4.3 "2"
54.96 -19.76 1487 1.27 4.3 "2"
54.96 -19.76 1487 1.29 4.3 "2"
55.48 -14.68 2161 1.21 4.3 "2"
55.48 -14.68 2161 1.07 4.3 "2"
56.16 -31.99 2295 1.04 4.3 "2"
57.51 -15.85 1134 0.89 4.3 "2"
57.51 -15.85 1134 0.84 4.3 "2"
60.4 -23.64 1984 1.2 4.3 "2"
60.4 -23.64 1984 1.245 4.3 "2"
61 -24 1650 1.17 4.3 "2"
61 -24 1650 1.06 4.3 "2"
-44.15 -14.23 3783 0.31 0.7 "2"
-44.15 -14.23 3783 0.13 0.7 "2"
-44.07 -14.21 3770 0.065 0.7 "2"
-44.07 -14.21 3770 -0.305 0.7 "2"
-43.22 11.74 4610 0.03 0.7 "2"
-43.22 11.74 4610 0.1 0.7 "2"
-42.91 8.9 3702 0.25 0.7 "2"
-42.91 8.9 3702 0.3 0.7 "2"
-40.94 9.89 4621 0.27 0.7 "2"
-40.94 9.89 4621 0.15 0.7 "2"
-36.2667 19.475 2488 0.882 3.5 "2"
-36.2667 19.475 2488 0.87 3.5 "2"
-31.46 15.31 1372 0.38 3.5 "2"
-31.46 15.31 1372 0.363333333333333 3.5 "2"
-27.7 -46.52 1567 1.115 5 "2"
-27.7 -46.52 1567 1.09 5 "2"
-27.51 -46.47 1268 1.077 5 "2"
-27.51 -46.47 1268 1.129 5 "2"
-26.95 -44.67 2069 1.282 5 "2"
-26.95 -44.67 2069 1.28925 5 "2"
-26.7 -43.33 2438 1.319 5 "2"
-26.7 -43.33 2438 1.337 5 "2"
-25.5 11.3 4194 0.338 3.5 "2"
-25.5 11.3 4194 0.412 3.5 "2"
-24.69 7.24 3210 0.6825 3.5 "2"
-24.69 7.24 3210 0.685 3.5 "2"
-24.48 7.53 4084 0.301666666666667 3.5 "2"
-24.48 7.53 4084 0.343333333333333 3.5 "2"
-23.43 11.7 2987 0.75 3.5 "2"
-23.43 11.7 2987 0.623333333333333 3.5 "2"
-22.92 6.04 2505 0.872 3.5 "2"
-22.92 6.04 2505 0.894 3.5 "2"
-22.33 11.2 3204 0.75 3.5 "2"
-22.33 11.2 3204 0.633333333333333 3.5 "2"
-21.74 5.42 3772 0.73 3.5 "2"
-21.74 5.42 3772 0.84 3.5 "2"
-20.1 9.19 2209 0.54 3.5 "2"
-20.1 9.19 2209 0.625 3.5 "2"
-5.78 -10.75 3125 0.87 3.5 "2"
-5.78 -10.75 3125 0.93 3.5 "2"
-3.82 -14.9 3984 0.92 5 "2"
-3.56 -16.43 4675 -0.23 5 "2"
-3.56 -16.43 4675 -0.08 5 "2"
-3.48 -7.6 4033 0.86 3.5 "2"
-3.48 -7.6 4033 0.87 3.5 "2"
-2.2 5.1 3891 0.24 3.5 "2"
-2.2 5.1 3891 0.535 3.5 "2"
-1.67 -12.43 3225 0.925 3.5 "2"
-1.67 -12.43 3225 0.9 3.5 "2"
1.37 -33.48 3824 0.95 4.9 "2"
1.37 -33.48 3824 0.923333333333333 4.9 "2"
1.66 -10.98 4588 0.945 4.3 "2"
1.66 -10.98 4588 0.94 4.3 "2"
2.46 -19.76 5105 0.763888888888889 4.3 "2"
2.46 -19.76 5105 0.723333333333333 4.3 "2"
2.47 -19.73 4998 0.88 4.3 "2"
2.47 -19.73 4998 0.89 4.3 "2"
3.09 -20.02 4745 0.776 4.3 "2"
3.09 -20.02 4745 0.744 4.3 "2"
4.23 -20.63 3792 0.81 4.3 "2"
4.23 -20.63 3792 0.82 4.3 "2"
4.34 -43.49 2816 1.24 4.9 "2"
4.56 -43.38 3547 0.913333333333333 4.9 "2"
4.56 -43.38 3547 0.855833333333333 4.9 "2"
4.79 -43.04 4341 0.556666666666667 4.9 "2"
4.79 -43.04 4341 0.66 4.9 "2"
4.92 -20.5 2937 1.10071428571429 4.3 "2"
4.92 -20.5 2937 1.12857142857143 4.3 "2"
4.95 -42.89 4556 0.241111111111111 4.9 "2"
4.95 -42.89 4556 0.311666666666667 4.9 "2"
5.45 -21.14 3160 0.94 4.3 "2"
5.45 -21.14 3160 0.9525 4.3 "2"
5.46 -43.75 4012 1.14 4.9 "2"
5.91 -44.2 4056 0.69 4.9 "2"
5.91 -44.2 4056 0.77 4.9 "2"
6.13 -43.44 4503 0.7 4.9 "2"
6.13 -43.44 4503 0.9 4.9 "2"
6.64 -21.9 3527 0.812 4.3 "2"
6.64 -21.9 3527 0.808 4.3 "2"
11.65 -80.13 3237 0.7872 4.9 "2"
11.65 -80.13 3237 0.829 4.9 "2"
12.09 -61.24 1299 0.91 4.9 "2"
12.09 -61.24 1299 1.055 4.9 "2"
12.44 -18.06 3223 0.98 4.3 "2"
12.44 -18.06 3223 0.74 4.3 "2"
14.17 -18.58 3167 0.746666666666667 4.3 "2"
14.17 -18.58 3167 0.823333333333333 4.3 "2"
14.42 -20.54 4202 0.765 4.3 "2"
14.42 -20.54 4202 0.7625 4.3 "2"
14.5 -17.95 2384 0.976666666666667 4.3 "2"
14.5 -17.95 2384 0.955833333333333 4.3 "2"
18.08 -21.03 3082 1.115 4.3 "2"
18.08 -21.03 3082 1.09 4.3 "2"
18.43 -21.08 3093 0.955 4.3 "2"
18.43 -21.08 3093 1 4.3 "2"
20.75 -18.58 2278 0.85 4.3 "2"
20.75 -18.58 2278 0.895 4.3 "2"
21.15 -18.57 2778 0.76 4.3 "2"
21.15 -18.57 2778 0.875 4.3 "2"
21.24 -18.06 1516 0.89 4.3 "2"
21.24 -18.06 1516 0.88 4.3 "2"
23.14 -17.75 2136 1.05 4.3 "2"
23.14 -17.75 2136 0.99 4.3 "2"
25.17 -16.85 2573 0.926666666666667 4.3 "2"
25.17 -16.85 2573 0.92 4.3 "2"
28.89 -13.23 1358 1.035 4.3 "2"
28.89 -13.23 1358 1.0325 4.3 "2"
29.98 -10.65 1512 1.17 4.3 "2"
29.98 -10.65 1512 1.17 4.3 "2"
30.63 -12.4 2324 1.05 4.3 "2"
30.63 -12.4 2324 1.04375 4.3 "2"
31.41415 -75.25807 3000 1.1 4.9 "2"
31.41415 -75.25807 3000 0.39 4.9 "2"
33.69 -57.63 4583 0.4475 4.9 "2"
33.69 -57.63 4583 0.725 4.9 "2"
