0.71			1.10
0.91			1.06
0.93			0.72
0.95			0.96
1.02			0.92
1.07			1.16
1.11			0.75
1.11			0.81
1.13			1.00
1.14			1.06
1.15			1.11
1.16			0.90
1.18			1.16
1.19			0.74
1.20			1.10
1.21			1.01
1.25			0.96
1.27			0.90
1.27			1.09
1.38			1.05
1.45			1.21
1.53			1.14
1.64			0.95
1.75			0.88
1.89			0.96
2.00			0.87
2.12			1.06
2.19			1.04
2.26			1.05
2.34			1.22
2.41			0.75
2.63			1.12
2.74			0.95
2.85			0.84
2.82			0.90
2.79			0.89
2.79			0.92
2.77			1.03
2.73			0.63
2.71			0.88
2.79			0.60
2.89			0.98
2.99			0.74
2.99			1.00
3.09			1.02
3.14			1.16
3.20			0.97
3.20			1.00
3.25			1.06
3.33			0.96
3.38			0.85
3.38			1.06
3.44			1.03
3.51			1.28
3.57			1.28
3.66			0.98
3.78			1.01
3.90			1.12
4.08			1.11
4.18			0.96
4.18			1.26
4.27			1.14
4.39			1.09
4.48			0.85
4.48			1.11
4.57			1.00
4.69			1.04
4.76			0.54
4.83			1.22
4.93			0.93
5.02			0.22
5.02			0.42
5.17			0.80
5.24			0.83
5.35			1.12
5.42			1.23
5.49			0.13
5.49			1.09
5.60			0.88
5.74			0.98
5.78			1.08
5.85			0.96
5.96			1.04
6.06			1.21
6.13			1.15
6.21			0.89
6.35			1.01
6.56			1.08
6.67			1.04
6.67			1.19
6.73			1.23
6.87			0.95
6.87			1.32
7.06			1.22
7.26			1.02
7.32			1.25
7.40			1.01
7.45			1.19
7.51			1.18
7.59			1.17
7.67			1.06
7.78			1.05
7.83			0.76
7.88			0.94
7.92			0.90
8.01			0.79
8.01			0.94
8.18			1.19
8.25			1.04
8.32			1.07
8.36			0.89
8.41			1.04
8.65			1.09
8.72			1.05
8.79			0.89
8.88			1.03
8.95			0.74
8.95			0.91
9.02			0.99
9.07			1.06
9.12			0.69
9.19			0.88
9.27			1.02
9.39			1.11
9.50			0.73
9.75			0.56
9.83			1.03
10.03			0.76
10.03			0.84
10.11			0.82
10.31			1.00
10.31			0.86
10.44			1.00
10.96			1.17
12.00			0.95
12.07			0.69
12.11			0.93
12.16			0.59
12.45			0.61
12.61			0.67
12.66			0.94
12.78			0.77
13.01			0.96
13.25			0.77
13.48			0.94
13.72			0.88
13.95			0.57
14.19			0.40
14.42			0.21
14.66			0.35
15.85			0.36
16.71			0.40
17.65			0.80
17.87			0.78
18.68			0.85
19.87			0.82
20.99			0.89
22.10			0.82
23.21			0.74
24.88			0.63
28.21			0.99
