2508	120.00	0.78
2512	120.56	0.80
2516	121.12	0.85
2520	121.68	0.73
2524	122.24	0.80
2528	122.80	0.82
2532	123.36	0.77
2536	123.92	0.67
2540	124.48	0.55
2544	125.03	0.67
2548	125.59	0.67
2552	126.15	0.55
2556	126.71	0.65
2560	127.27	0.45
2564	127.83	0.24
2568	128.39	0.27
2572	128.83	0.16
2588	129.87	-0.06
2592	130.13	-0.32
2620	131.94	-0.24
2624	132.20	-0.04
2628	132.46	-0.03
2632	132.72	-0.30
2636	132.98	-0.37
2640	133.24	-0.16
2644	133.50	0.03
2648	133.76	-0.08
2652	134.04	-0.31
2660	134.69	-0.33
2667	135.26	-0.23
2677	136.07	0.05
2680	136.31	-0.03
2683	136.56	0.17
2687	136.88	-0.03
2690	137.12	-0.17
2693	137.37	-0.30
2697	137.69	-0.05
2700	137.94	-0.13
2703	138.18	-0.10
2707	138.50	-0.04
2710	138.75	-0.26
2713	138.99	-0.14
2717	139.32	-0.27
2720	139.56	-0.04
2724	139.88	-0.14
2760	142.81	-0.18
2780	144.43	-0.18
2800	146.05	0.15
2880	152.55	-0.33
2900	154.17	-0.39
2940	157.42	-0.42
2980	160.67	-0.55
