"Row.names" "dataset" "equation" "model" "type" "period" "lower" "reps" "run.no" "dep_4" "filename" "success.rate" "sigma" "N_mem" "A_mem" "a.AABW" "b.AABW" "c.AABW" "e.AABW" "a.NADW" "b.NADW" "c.NADW" "e.NADW"
"1" "LIG" "tanh" "UVic" "data" "Holocene" 121 1 "22" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.159290972030688 0.79676006027422 0.213894179467467 NA NA NA NA -0.0158857441044309 -0.00824622412870899 1.35768355903089e-06 10.8469312063652
"1" "LIG" "tanh" "UVic" "data" "Holocene" 121.1 1 "23" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.406981072327228 0.798234424940896 0.203929320918611 NA NA NA NA -9.70552113064923 -1.36218666094052 0.00193603594651789 -2077.61140043257
"1" "LIG" "tanh" "UVic" "data" "Holocene" 121.2 1 "24" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.41099285213098 0.800675996326216 0.198766237781432 NA NA NA NA 76.5119205658239 -258.450342376052 0.0779638828523555 210246.291077222
"1" "LIG" "tanh" "UVic" "data" "Holocene" 121.3 1 "25" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.263653902444567 0.802776663993527 0.195608045020129 NA NA NA NA -1.00017050351536 1.25249085308136 -0.000322612211144948 -1130.28920987953
"1" "LIG" "tanh" "UVic" "data" "Holocene" 121.4 1 "26" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.259653539655275 0.804612074489404 0.193476825121232 NA NA NA NA -0.0909480828734981 0.0403824304214238 1.80922790962708e-06 -168.242573312916
"1" "LIG" "tanh" "UVic" "data" "Holocene" 121.5 1 "27" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.390641732217505 0.806073319325897 0.189108664355427 NA NA NA NA -11.1100627489025 -11.6537917441511 0.00366510061147031 7636.05796355834
"1" "LIG" "tanh" "UVic" "data" "Holocene" 121.6 1 "28" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.203175213694639 0.80753456416239 0.185217487096693 NA NA NA NA -0.0946837537077831 1.85449021466682 -0.000299402493154107 -2870.14430410676
"1" "LIG" "tanh" "UVic" "data" "Holocene" 121.7 1 "29" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.399224424277899 0.810188687665193 0.179610044094701 NA NA NA NA 0.95784947920527 -120.507378261993 0.0198186580629646 183151.08402214
"1" "LIG" "tanh" "UVic" "data" "Holocene" 121.8 1 "30" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.167818887357522 0.813316858025085 0.174570044121866 NA NA NA NA 0.116473693961906 4.39975368160084 -0.000550335669930422 -8793.11642281117
"1" "LIG" "tanh" "UVic" "data" "Holocene" 121.9 1 "31" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.363897231604647 0.815767702769357 0.171964585473795 NA NA NA NA 30.0573102722007 -70.077237874995 0.0197193502259309 59973.0265207449
