"Core" "Lat" "Lon" "Ocean_depth" "d13C" "count" "stdev" "run.no"
"GIK17055-1" 48.22 -27.06 2558 1.32 2 0 "1"
"KF13" 37.58 -31.84 2690 1.035 4 0.168424067955464 "1"
"KNR110-66" 4.56 -43.38 3547 0.745714285714286 7 0.369948516366676 "1"
"KNR110-71" 4.36 -43.7 3164 1.076 5 0.303693924865151 "1"
"KNR110-75" 4.34 -43.41 3063 1.11666666666667 3 0.335608899365516 "1"
"KNR110-82" 4.34 -43.49 2816 1.08666666666667 3 0.192959408512084 "1"
"KNR159-36" -27.51 -46.47 1268 1.09936363636364 11 0.0796483179072511 "1"
"M35003-4" 12.09 -61.24 1299 1.06933333333333 15 0.138123478229066 "1"
"MD95-2040" 40.58 -9.86 2465 0.95 6 0.117303026388921 "1"
"MD99-2334" 37.8 -10.17 3146 0.932666666666667 12 0.109064662499183 "1"
"ODP1087" -31.46 15.31 1372 0.333333333333333 3 0.045092497528229 "1"
"ODP659" 18.08 -21.03 3082 1.07333333333333 3 0.0577350269189625 "1"
"ODP925" 4.2 -43.49 3040 1.23 1 NA "1"
"ODP926" 3.72 -42.91 3598 1.23 1 NA "1"
"ODP927" 5.46 -44.48 3326 0.88 1 NA "1"
"RC13-228" -22.33 11.2 3204 0.546666666666667 3 0.181750745069541 "1"
"RC16-119" -27.7 -46.52 1567 1.09333333333333 3 0.0503322295684716 "1"
"RC16-84" -26.7 -43.33 2438 1.31933333333333 3 0.0308922859842605 "1"
"SU90-03" 40.05 -32 2475 1.29 3 0.0608276253029822 "1"
"V22-197" 14.17 -18.58 3167 0.841428571428571 7 0.1785523799364 "1"
"V24-253" -26.95 -44.67 2069 1.30133333333333 3 0.0309246395829173 "1"
"V28-127" 11.65 -80.13 3237 0.774333333333333 3 0.0725695069111906 "1"
"V29-135" -19.7 8.88 2675 0.65 1 NA "1"
"V30-49" 18.43 -21.08 3093 0.918 5 0.129112354172635 "1"
"GEOB1028-5" -20.1 9.19 2209 0.64 4 0.0941629792788369 "1"
"GEOB2109-1" -27.91 -45.88 2504 1.23 2 0.113137084989848 "1"
"KNR140-37JPC" 31.41415 -75.25807 3000 0.657222222222222 18 0.380662047978574 "1"
"MD95_2042" 37.799833 -10.1665 3146 0.96875 8 0.206635462313985 "1"
"MD96-2080" -36.2667 19.475 2488 0.795 2 0.106066017177982 "1"
