"Lat" "Lon" "Ocean_depth" "d13C" "count" "stdev" "run.no"
-31.46 15.31 1372 0.23 1 NA "6"
-22.33 11.2 3204 0.51 1 NA "6"
40.05 -32 2475 0.9698 2 0.0987121066536421 "6"
41.75 -47.35 4100 0.585 2 0.176776695296637 "6"
-27.91 -45.88 2504 0.44 1 NA "6"
-1.34 -11.9733 3911 0.23 1 NA "6"
31.41415 -75.25807 3000 0.89 1 NA "6"
37.799833 -10.1665 3146 0.345 2 0.148492424049175 "6"
33.683333 -57.616667 4584 0.363 1 NA "6"
49.87776 -24.23811 3871 0.658 5 0.232529568012328 "6"
56.16 -31.99 2295 0.9 1 NA "7"
53.54 -20.29 2196 0.88 1 NA "7"
57.51 -15.85 1134 0.3 1 NA "7"
61 -24 1650 -1.17 1 NA "7"
61 -21 2658 0.93 1 NA "7"
-40.94 9.89 4621 -0.445 2 0.304055915910215 "7"
-44.15 -14.23 3783 0.31 1 NA "7"
5.91 -44.2 4056 1.1 1 NA "7"
-3.48 -7.6 4033 0.71 1 NA "7"
1.66 -10.98 4588 0.78 1 NA "7"
-5.78 -10.75 3125 0.68 1 NA "7"
49.88 -24.24 3883 0.785 2 0.0212132034355964 "7"
-31.46 15.31 1372 0.23 1 NA "7"
-22.33 11.2 3204 0.51 1 NA "7"
40.05 -32 2475 0.9698 2 0.0987121066536421 "7"
41.75 -47.35 4100 0.46 1 NA "7"
-27.91 -45.88 2504 0.44 1 NA "7"
-1.34 -11.9733 3911 0.23 1 NA "7"
31.41415 -75.25807 3000 0.89 1 NA "7"
37.799833 -10.1665 3146 0.345 2 0.148492424049175 "7"
33.683333 -57.616667 4584 0.363 1 NA "7"
49.87776 -24.23811 3871 0.658 5 0.232529568012328 "7"
56.16 -31.99 2295 0.9 1 NA "8"
57.51 -15.85 1134 0.3 1 NA "8"
61 -24 1650 -1.17 1 NA "8"
61 -21 2658 0.93 1 NA "8"
-40.94 9.89 4621 -0.445 2 0.304055915910215 "8"
-44.15 -14.23 3783 0.31 1 NA "8"
5.91 -44.2 4056 1.1 1 NA "8"
-3.48 -7.6 4033 0.71 1 NA "8"
-5.78 -10.75 3125 0.68 1 NA "8"
49.88 -24.24 3883 0.683333333333333 3 0.176729548557488 "8"
-31.46 15.31 1372 0.23 1 NA "8"
-22.33 11.2 3204 0.51 1 NA "8"
40.05 -32 2475 0.9698 2 0.0987121066536421 "8"
-27.91 -45.88 2504 0.44 1 NA "8"
-1.34 -11.9733 3911 0.23 1 NA "8"
