"Row.names" "dataset" "equation" "model" "type" "period" "reps" "run.no" "dep_4" "filename" "success.rate" "sigma" "N_mem" "A_mem" "a.AABW" "b.AABW" "c.AABW" "e.AABW" "a.NADW" "b.NADW" "c.NADW" "e.NADW" "lower" "upper"
"1" "LIG" "quad" "UVic" "data" "Holocene" 1 "1" 3950 "1_LIG_UVic_Holocene_data_quad_d13C.txt" TRUE 0.211402695963038 1.04047619047619 0.2025 0.0075129483055928 -0.013810839552327 1.53411200961573e-06 31.4836232158698 0.00358831978278194 7.37132250570796e-05 -3.02791915217469e-08 0.965997215502173 2 3
"1" "LIG" "tanh" "UVic" "data" "Holocene" 1 "2" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.226009251315122 1.04047619047619 0.2025 0.0075129483055928 -0.013810839552327 1.53411200961573e-06 31.4836232158698 -0.0260296211195489 0.0039636068902379 -4.15459646271372e-07 -9.29598773036938 2 3
"1" "LIG" "quad" "UVic" "data" "Holocene" 1 "3" 3200 "1_LIG_UVic_Holocene_data_quad_d13C.txt" TRUE 0.211657127653107 1.05461111111111 0.128 0.00187279801103726 -0.000901455230480787 9.27745010558857e-08 2.82953089360983 0.00193392109702644 0.000388553945550492 -9.57883358339512e-08 0.647697660643885 3 4
"1" "LIG" "tanh" "UVic" "data" "Holocene" 1 "4" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.214571281143237 1.05461111111111 0.128 0.00187279801103726 -0.000901455230480787 9.27745010558857e-08 2.82953089360983 -0.00550212195036443 0.00354831855573279 -3.82638110040545e-07 -8.31774991054617 3 4
"1" "LIG" "quad" "UVic" "data" "Holocene" 1 "5" 3200 "1_LIG_UVic_Holocene_data_quad_d13C.txt" TRUE 0.20969800694112 1.0605 0.144 0.00441684540381285 -0.00036703158902427 3.23869246193418e-08 1.67205161243278 0.00312770275478147 0.00071249809578836 -1.53666236962769e-07 0.191468490960671 4 5
"1" "LIG" "tanh" "UVic" "data" "Holocene" 1 "6" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.218342212356733 1.0605 0.144 0.00441684540381285 -0.00036703158902427 3.23869246193418e-08 1.67205161243278 -0.0186081013716731 5.88044361938241e-05 5.01179436948709e-08 -1.4326639964986 4 5
"1" "LIG" "quad" "UVic" "data" "Holocene" 1 "7" 3600 "1_LIG_UVic_Holocene_data_quad_d13C.txt" TRUE 0.227881694219226 1.04409970238095 0.0126666666666667 0.00453751360882556 0.000583802589565837 -7.24093466190125e-08 -0.510543788621256 0.00305554575957705 0.000502486860462922 -1.10276948181457e-07 0.415242359560004 5 6
"1" "LIG" "tanh" "UVic" "data" "Holocene" 1 "8" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.236072455672505 1.04409970238095 0.0126666666666667 0.00453751360882556 0.000583802589565837 -7.24093466190125e-08 -0.510543788621256 -0.0145027609003101 0.00238546905177107 -2.47036741694709e-07 -5.91099028978772 5 6
"1" "LIG" "quad" "UVic" "data" "Holocene" 1 "9" 3700 "1_LIG_UVic_Holocene_data_quad_d13C.txt" TRUE 0.228126444326741 1.0414055258467 0.133611111111111 0.00572132598515872 -0.00263159937776484 2.97930772252116e-07 6.35336315235421 0.00383301508448759 0.00041326064235185 -9.82109186586123e-08 0.517920766934654 6 7
"1" "LIG" "tanh" "UVic" "data" "Holocene" 1 "10" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.239480616332693 1.0414055258467 0.133611111111111 0.00572132598515872 -0.00263159937776484 2.97930772252116e-07 6.35336315235421 -0.0153237832885836 0.00262301278979343 -2.8183058563591e-07 -6.05502262138649 6 7
"1" "LIG" "quad" "UVic" "data" "Holocene" 1 "11" 3950 "1_LIG_UVic_Holocene_data_quad_d13C.txt" TRUE 0.231702863328556 1.02241176470588 0.108333333333333 0.00422582867467207 -0.00566379701130652 6.31036419165764e-07 13.175356933203 0.00464485559189479 0.000264893681022303 -6.13850130764338e-08 0.621294023305557 7 8
"1" "LIG" "tanh" "UVic" "data" "Holocene" 1 "12" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.242487701742684 1.02241176470588 0.108333333333333 0.00422582867467207 -0.00566379701130652 6.31036419165764e-07 13.175356933203 -0.0176948698359717 -0.000226429278771303 1.05974931251615e-07 -1.03464187538929 7 8
"1" "LIG" "quad" "UVic" "data" "Holocene" 1 "13" 3950 "1_LIG_UVic_Holocene_data_quad_d13C.txt" TRUE 0.230910110509731 1.01072128851541 0.12 0.00599452857871786 -0.0065575567904668 7.34880522559336e-07 15.0171103684966 0.00405650519246122 0.000235872106443554 -5.23003210076162e-08 0.622942724092627 8 9
"1" "LIG" "tanh" "UVic" "data" "Holocene" 1 "14" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.248820930216923 1.01072128851541 0.12 0.00599452857871786 -0.0065575567904668 7.34880522559336e-07 15.0171103684966 -0.0141943762320276 -0.000929211158848114 2.1889893637878e-07 0.0412005962675511 8 9
"1" "LIG" "quad" "UVic" "data" "Holocene" 1 "15" 3950 "1_LIG_UVic_Holocene_data_quad_d13C.txt" TRUE 0.229083500230004 0.89156862745098 0.0329166666666667 0.00347611075957888 -0.00727839338094038 8.04781631116978e-07 16.8596799361649 0.00385026028323962 -9.579030498409e-05 5.30072811171506e-09 0.974820517208881 9 10
