lower,Lat,Lon,Ocean_depth,d13C,count,_merge,edgecolor
130.75,-31.46,15.31,1372.0,0.47,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
130.75,57.51,-15.85,1134.0,0.38,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
130.75,60.4,-23.64,1984.0,0.61,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
130.75,40.05,-32.0,2475.0,0.5825199999999999,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
130.75,61.0,-21.0,2658.0,0.74,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
131.0,53.18,-19.15,2472.0,0.88,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
131.0,60.4,-23.64,1984.0,0.9,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
131.25,40.05,-32.0,2475.0,0.87097,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
131.5,-36.2667,19.475,2488.0,0.23,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
131.5,60.4,-23.64,1984.0,0.83,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
131.75,54.63,-16.35,2209.0,0.7,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
131.75,-20.1,9.19,2209.0,0.18,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
131.75,53.54,-20.29,2196.0,0.96,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
131.75,60.4,-23.64,1984.0,0.72,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
131.75,40.05,-32.0,2475.0,0.66,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
132.0,52.55,-20.33,2841.0,0.98,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
132.0,60.4,-23.64,1984.0,0.93,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
132.0,-19.7,8.88,2675.0,0.45,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
132.0,61.0,-21.0,2658.0,0.65,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
132.25,-23.43,11.7,2987.0,0.16,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
132.25,60.4,-23.64,1984.0,0.68,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
132.25,40.05,-32.0,2475.0,0.60905,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
132.5,60.4,-23.64,1984.0,0.81,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
132.5,40.05,-32.0,2475.0,0.84057,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
132.75,53.54,-20.29,2196.0,0.92,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
132.75,60.4,-23.64,1984.0,0.66,3.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
133.0,25.17,-16.85,2573.0,0.48750000000000004,4.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
133.0,57.51,-15.85,1134.0,0.32,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
133.0,60.4,-23.64,1984.0,0.8,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
133.0,40.05,-32.0,2475.0,0.79,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
133.0,-10.07,-12.82,2630.0,0.97,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
133.25,5.67,-19.85,2862.0,0.82,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
133.25,56.16,-31.99,2295.0,1.12,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
133.25,53.54,-20.29,2196.0,0.91,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
133.25,53.18,-19.15,2472.0,0.62,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
133.25,60.4,-23.64,1984.0,0.565,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
133.5,-20.1,9.19,2209.0,0.21,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
133.5,29.98,-10.65,1512.0,0.7,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
133.5,30.63,-12.4,2324.0,0.18,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
133.5,60.4,-23.64,1984.0,0.365,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
133.5,40.05,-32.0,2475.0,0.7618699999999999,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
133.5,61.0,-21.0,2658.0,0.58,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
133.75,-27.91,-45.88,2504.0,0.17,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
133.75,53.54,-20.29,2196.0,0.62,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
133.75,-23.43,11.7,2987.0,0.46,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
133.75,60.4,-23.64,1984.0,0.53,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
134.0,60.4,-23.64,1984.0,0.47,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
134.25,54.63,-16.35,2209.0,0.43,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
134.25,25.17,-16.85,2573.0,0.05,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
134.25,-36.2667,19.475,2488.0,0.37,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
134.25,-31.46,15.31,1372.0,0.03,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
134.5,53.54,-20.29,2196.0,0.78,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
134.5,30.63,-12.4,2324.0,0.04,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
134.5,60.4,-23.64,1984.0,0.495,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
134.75,53.54,-20.29,2196.0,0.25,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
134.75,57.51,-15.85,1134.0,0.22,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
134.75,61.0,-21.0,2658.0,0.65,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
135.0,60.4,-23.64,1984.0,0.29,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
135.0,40.05,-32.0,2475.0,0.71,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
135.25,-20.1,9.19,2209.0,0.17,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
135.25,25.17,-16.85,2573.0,0.41,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
135.25,53.54,-20.29,2196.0,0.39,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
135.25,53.18,-19.15,2472.0,0.22,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
135.25,-23.43,11.7,2987.0,0.23,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
135.25,30.63,-12.4,2324.0,0.06,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
135.25,60.4,-23.64,1984.0,0.24,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
135.25,-10.07,-12.82,2630.0,0.84,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
135.5,29.98,-10.65,1512.0,0.33,3.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
135.5,52.55,-20.33,2841.0,0.21,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
135.5,60.4,-23.64,1984.0,0.69,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
135.5,40.05,-32.0,2475.0,0.5454100000000001,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
135.75,53.54,-20.29,2196.0,0.21,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
135.75,30.63,-12.4,2324.0,0.49,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
135.75,60.4,-23.64,1984.0,-0.07,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
136.0,52.55,-20.33,2841.0,0.3,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
136.0,-23.43,11.7,2987.0,-0.04,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
136.0,60.4,-23.64,1984.0,0.45,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
136.0,40.05,-32.0,2475.0,0.45,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
136.0,-10.07,-12.82,2630.0,0.93,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
136.25,53.54,-20.29,2196.0,0.3,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
136.25,30.63,-12.4,2324.0,0.27,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
136.25,28.89,-13.23,1358.0,0.66,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
136.25,61.0,-21.0,2658.0,0.725,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
136.5,54.63,-16.35,2209.0,0.28,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
136.5,5.67,-19.85,2862.0,0.51,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
136.5,53.54,-20.29,2196.0,0.44,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
136.5,53.18,-19.15,2472.0,0.37,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
136.5,57.51,-15.85,1134.0,0.81,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
136.5,60.4,-23.64,1984.0,0.08,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
136.5,40.05,-32.0,2475.0,0.46,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
136.5,-10.07,-12.82,2630.0,0.7,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
136.75,53.54,-20.29,2196.0,0.2,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
136.75,-23.43,11.7,2987.0,-0.11,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
136.75,30.63,-12.4,2324.0,0.12,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
136.75,-10.07,-12.82,2630.0,0.6,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
137.0,-20.1,9.19,2209.0,0.19,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
137.0,-27.91,-45.88,2504.0,0.05,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
137.0,25.17,-16.85,2573.0,-0.14,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
137.0,53.54,-20.29,2196.0,0.72,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
137.0,-36.2667,19.475,2488.0,0.03,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
137.0,60.4,-23.64,1984.0,0.7,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
137.0,40.05,-32.0,2475.0,0.2479,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
137.25,30.63,-12.4,2324.0,0.2,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
137.25,60.4,-23.64,1984.0,0.59,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
137.25,40.05,-32.0,2475.0,0.49792500000000006,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
137.5,53.54,-20.29,2196.0,0.51,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
137.5,-23.43,11.7,2987.0,0.07,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
137.5,55.49,-14.7,2168.0,0.8,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
137.5,40.05,-32.0,2475.0,0.43,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
137.75,53.54,-20.29,2196.0,0.57,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
