lower,d13C_ind,stdev_ind,d13C_pac,stdev_pac,d13C_atl,stdev_atl,d13C,stdev
118.0,0.14250000000000002,0.0,-0.15230155210643015,,0.4925097892695066,,0.05494738342987127,
119.0,0.05660714285714286,0.0,-0.02837161862527717,0.01168561,0.5405503159795978,0.037866335582109494,0.12138379985070642,0.015629139025680902
120.0,0.04696428571428572,0.0,0.03962931756590295,0.0038343616049382706,0.5822117240036111,0.03468447245038765,0.16851914907356444,0.010359182649678784
121.0,0.009821428571428578,0.0,0.04677571622144793,0.006868693161415029,0.6511701741093737,0.04110493245537199,0.18181958043495428,0.01361569372616427
122.0,0.05517857142857143,0.0,0.017747844296624807,0.018852815586419762,0.6113312699666552,0.03560990878568528,0.1643111877689284,0.01922713032700052
123.0,0.015535714285714305,0.0,0.02231533998521803,0.013301201117361106,0.569088172033415,0.032844505172984234,0.14952200217339387,0.01537960492434094
124.0,0.06589285714285714,0.0,0.025147082614765573,0.015765708883959187,0.5263112480891531,0.042023820114326906,0.15061908909936947,0.018956216612645904
125.0,-0.21625,0.0,0.005523957050176567,0.0179246229786094,0.48821631970752966,0.03887098423622443,0.07703461999465527,0.01945883277499123
126.0,-0.305,0.0,-0.032810427445183525,0.0262786614371142,0.47902782664824106,0.043404695197903236,0.03601994549872105,0.025336066698023883
127.0,-0.32833333333333337,0.0,-0.08052694629219019,0.02602060244261189,0.452152657773386,0.0354071296512974,-0.0021901622998826225,0.023308050520378907
128.0,-0.29000000000000004,0.0,-0.12809797158577643,0.012260435721021945,0.36849227812545743,0.08785306050545846,-0.04200460537688508,0.027706793924885384
129.0,-0.345,0.0,-0.14995033259423504,0.0018147600000000001,0.24001155627264495,0.0950423354885453,-0.09517940440080887,0.023379625146733505
