Core,lower,Lat,Lon,Ocean_depth,d13C,count,regions
KF13,4.0,37.58,-31.84,2690.0,1.1400000000000001,2.0,NEA
KF13,5.0,37.58,-31.84,2690.0,0.79,1.0,NEA
KF13,6.0,37.58,-31.84,2690.0,0.93,,NEA
KF13,7.0,37.58,-31.84,2690.0,1.07,1.0,NEA
KNR110-50,5.0,4.87,-43.21,3995.0,0.9450000000000001,2.0,NWA
KNR110-50,6.0,4.87,-43.21,3995.0,0.5941666666666667,,NWA
KNR110-50,7.0,4.87,-43.21,3995.0,0.24333333333333332,3.0,NWA
KNR110-58,2.0,4.79,-43.04,4341.0,0.35,1.0,NWA
KNR110-58,3.0,4.79,-43.04,4341.0,0.5566666666666666,,NWA
KNR110-58,4.0,4.79,-43.04,4341.0,0.7633333333333333,,NWA
KNR110-58,5.0,4.79,-43.04,4341.0,0.97,2.0,NWA
KNR110-58,6.0,4.79,-43.04,4341.0,0.835,,NWA
KNR110-58,7.0,4.79,-43.04,4341.0,0.7,2.0,NWA
KNR110-75,4.0,4.34,-43.41,3063.0,1.255,2.0,NWA
KNR110-75,5.0,4.34,-43.41,3063.0,1.0474999999999999,,NWA
KNR110-75,6.0,4.34,-43.41,3063.0,0.84,1.0,NWA
KNR140-37JPC,2.0,31.414149999999996,-75.25807,3000.0,0.8700000000000001,3.0,NWA
KNR140-37JPC,3.0,31.414149999999996,-75.25807,3000.0,0.6266666666666667,3.0,NWA
KNR140-37JPC,4.0,31.414149999999996,-75.25807,3000.0,0.8866666666666667,3.0,NWA
KNR140-37JPC,5.0,31.414149999999996,-75.25807,3000.0,0.40666666666666673,3.0,NWA
KNR140-37JPC,6.0,31.414149999999996,-75.25807,3000.0,0.5375000000000001,4.0,NWA
KNR140-37JPC,7.0,31.414149999999996,-75.25807,3000.0,0.655,2.0,NWA
KNR159-36,2.0,-27.51,-46.47,1268.0,1.0805,2.0,SWA
KNR159-36,3.0,-27.51,-46.47,1268.0,1.103,2.0,SWA
KNR159-36,4.0,-27.51,-46.47,1268.0,1.14,1.0,SWA
KNR159-36,5.0,-27.51,-46.47,1268.0,1.1520000000000001,2.0,SWA
KNR159-36,6.0,-27.51,-46.47,1268.0,1.157,2.0,SWA
KNR159-36,7.0,-27.51,-46.47,1268.0,0.984,2.0,SWA
KNR31-GPC5,2.0,33.69,-57.63,4583.0,0.6307142857142856,14.0,NWA
KNR31-GPC5,3.0,33.69,-57.63,4583.0,0.503,10.0,NWA
KNR31-GPC5,4.0,33.69,-57.63,4583.0,0.62,6.0,NWA
KNR31-GPC5,5.0,33.69,-57.63,4583.0,1.05,1.0,NWA
KNR31-GPC5,6.0,33.69,-57.63,4583.0,0.84,1.0,NWA
KNR31-GPC5,7.0,33.69,-57.63,4583.0,0.71,3.0,NWA
MD07-3076,2.0,-44.07,-14.21,3770.0,0.11499999999999999,2.0,SA
MD07-3076,3.0,-44.07,-14.21,3770.0,-0.12,4.0,SA
MD07-3076,4.0,-44.07,-14.21,3770.0,-0.019999999999999997,2.0,SA
MD07-3076,5.0,-44.07,-14.21,3770.0,-0.18666666666666668,3.0,SA
MD07-3076,6.0,-44.07,-14.21,3770.0,-0.11,4.0,SA
MD07-3076,7.0,-44.07,-14.21,3770.0,-0.09000000000000001,2.0,SA
MD95_2042,4.0,37.799833,-10.1665,3146.0,0.9733333333333333,3.0,NEA
MD95_2042,5.0,37.799833,-10.1665,3146.0,1.0350000000000001,2.0,NEA
MD95_2042,6.0,37.799833,-10.1665,3146.0,1.06,1.0,NEA
MD95_2042,7.0,37.799833,-10.1665,3146.0,0.85,2.0,NEA
MD96-2080,3.0,-36.2667,19.475,2488.0,0.87,1.0,SEA
